Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,Luxembourg,World,World,TOTAL CPC,TOTAL MOT,854290,"$91,627",258,,kg,258,kg,258
2018,X,Madagascar,World,World,TOTAL CPC,TOTAL MOT,854290,$15,3,,kg,3,kg,3
2018,X,Malaysia,World,World,TOTAL CPC,TOTAL MOT,854290,"$3,025,921,672",107402427,,kg,107402427,kg,107402427
2018,X,Malta,World,World,TOTAL CPC,TOTAL MOT,854290,"$5,698",31,,kg,31,N/A,
2018,X,Mexico,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,389,883",,,N/A,,N/A,
2018,X,"Other Asia, nes",World,World,TOTAL CPC,TOTAL MOT,852352,"$89,645,632",1196659,,u,339685127,u,339685127
2018,X,Mongolia,World,World,TOTAL CPC,TOTAL MOT,852352,$3,0,,u,7,u,7
2018,X,Rep. of Moldova,World,World,TOTAL CPC,TOTAL MOT,852352,"$40,369",445,,u,61011,u,61011
2018,X,Montenegro,World,World,TOTAL CPC,TOTAL MOT,852352,"$10,761",21,,u,3029,u,3029
2018,X,Morocco,World,World,TOTAL CPC,TOTAL MOT,852352,"$1,733,552",66605,,N/A,,kg,66605
2018,X,Mozambique,World,World,TOTAL CPC,TOTAL MOT,852352,"$2,412",,,u,711,u,711
2018,X,Oman,World,World,TOTAL CPC,TOTAL MOT,852352,"$314,832",9396,,N/A,,kg,9396
2018,X,Namibia,World,World,TOTAL CPC,TOTAL MOT,852352,"$6,615",,,N/A,,N/A,
2018,X,Netherlands,World,World,TOTAL CPC,TOTAL MOT,852352,"$143,195,343",3832658,,u,478435060,u,478435060
2018,X,New Zealand,World,World,TOTAL CPC,TOTAL MOT,852352,"$2,940,159",12772,,u,3305654,N/A,
2018,X,Nicaragua,World,World,TOTAL CPC,TOTAL MOT,852352,"$36,765",1431,,N/A,,N/A,
2018,X,Norway,World,World,TOTAL CPC,TOTAL MOT,852352,"$27,470,124",47028,,u,8033325,u,8033325
2018,X,Pakistan,World,World,TOTAL CPC,TOTAL MOT,852352,"$4,425",,,u,1,u,1
2018,X,Panama,World,World,TOTAL CPC,TOTAL MOT,852352,"$85,128",369,5913,N/A,,N/A,
2018,X,Peru,World,World,TOTAL CPC,TOTAL MOT,852352,"$763,081",9146,,u,398619,u,398619
2018,X,Philippines,World,World,TOTAL CPC,TOTAL MOT,852352,"$23,482,565",173532,173525,N/A,,N/A,
2018,X,Poland,World,World,TOTAL CPC,TOTAL MOT,852352,"$208,112,700",879026,,u,110083221,u,110083221
2018,X,Portugal,World,World,TOTAL CPC,TOTAL MOT,852352,"$1,057,180",7202,,N/A,,N/A,
2018,X,Romania,World,World,TOTAL CPC,TOTAL MOT,852352,"$97,980,670",1191171,,u,204910041,u,204910041
2018,X,Russian Federation,World,World,TOTAL CPC,TOTAL MOT,852352,"$19,763,946",287840,,u,70203696,u,70203696
2018,X,Rwanda,World,World,TOTAL CPC,TOTAL MOT,852352,"$2,815",930,,kg,930,kg,930
2018,X,Saint Lucia,World,World,TOTAL CPC,TOTAL MOT,852352,$18,10,,u,10,u,10
2018,X,Saudi Arabia,World,World,TOTAL CPC,TOTAL MOT,852352,"$109,109",2518,,N/A,,N/A,
2018,X,Senegal,World,World,TOTAL CPC,TOTAL MOT,852352,"$34,027",422,,N/A,,N/A,
2018,X,"Other Asia, nes",World,World,TOTAL CPC,TOTAL MOT,854233,"$95,637,532",255060,,u,219952382,N/A,
2018,X,Morocco,World,World,TOTAL CPC,TOTAL MOT,854233,$367,12,,N/A,,kg,12
2018,X,Mozambique,World,World,TOTAL CPC,TOTAL MOT,854233,$200,172,,u,2,u,2
2018,X,Oman,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,368,941",5222,,N/A,,kg,5222
2018,X,Namibia,World,World,TOTAL CPC,TOTAL MOT,854233,"$36,885",,,N/A,,N/A,
2018,X,Netherlands,World,World,TOTAL CPC,TOTAL MOT,854233,"$267,610,764",281929,,N/A,,kg,281929
2018,X,New Zealand,World,World,TOTAL CPC,TOTAL MOT,854233,"$399,503",,,N/A,,N/A,
2018,X,Norway,World,World,TOTAL CPC,TOTAL MOT,854233,"$291,047",1407,,u,3758,u,3758
2018,X,Panama,World,World,TOTAL CPC,TOTAL MOT,854233,"$100,953",,7579,N/A,,N/A,
2018,X,Peru,World,World,TOTAL CPC,TOTAL MOT,854233,"$24,495",463,,u,45,u,45
2018,X,Philippines,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,596,004",4162,4162,N/A,,N/A,
2018,X,Poland,World,World,TOTAL CPC,TOTAL MOT,854233,"$2,057,177",7108,,N/A,,N/A,
2018,X,Portugal,World,World,TOTAL CPC,TOTAL MOT,854233,"$139,430",791,,N/A,,N/A,
2018,X,Romania,World,World,TOTAL CPC,TOTAL MOT,854233,"$758,715",6508,,N/A,,kg,6423
2018,X,Russian Federation,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,019,376",470,,u,75743049,N/A,
2018,X,Rwanda,World,World,TOTAL CPC,TOTAL MOT,854233,"$6,025",6600,,kg,6600,kg,6600
2018,X,Saudi Arabia,World,World,TOTAL CPC,TOTAL MOT,854233,"$88,272",413,,kg,413,kg,413
2018,X,"Other Asia, nes",World,World,TOTAL CPC,TOTAL MOT,854239,"$79,609,978,358",28654163,,u,89742439943,N/A,
2018,X,Mongolia,World,World,TOTAL CPC,TOTAL MOT,854239,"$1,725",7,,u,3,u,3
2018,X,Rep. of Moldova,World,World,TOTAL CPC,TOTAL MOT,854239,"$380,062",1786,,u,3139721,u,3139721
2018,X,Montenegro,World,World,TOTAL CPC,TOTAL MOT,854239,$378,1,,N/A,,N/A,
2018,X,Morocco,World,World,TOTAL CPC,TOTAL MOT,854239,"$24,367,123",686720,,N/A,,N/A,
2018,X,Mozambique,World,World,TOTAL CPC,TOTAL MOT,854239,"$3,023",454,,u,13,u,13
2018,X,Oman,World,World,TOTAL CPC,TOTAL MOT,854239,"$727,799",3127,,N/A,,kg,3127
2018,X,Namibia,World,World,TOTAL CPC,TOTAL MOT,854239,"$13,132",,,N/A,,N/A,
2018,X,Netherlands,World,World,TOTAL CPC,TOTAL MOT,854239,"$2,188,558,528",2562748,,N/A,,kg,2562745
2018,X,Aruba,World,World,TOTAL CPC,TOTAL MOT,854239,$351,2,,N/A,,kg,2
2018,X,New Zealand,World,World,TOTAL CPC,TOTAL MOT,854239,"$3,216,461",,,N/A,,N/A,
2018,X,Nicaragua,World,World,TOTAL CPC,TOTAL MOT,854239,"$11,700",2136,,N/A,,N/A,
2018,X,Niger,World,World,TOTAL CPC,TOTAL MOT,854239,"$1,815",2,,N/A,,kg,2
2018,X,Norway,World,World,TOTAL CPC,TOTAL MOT,854239,"$13,525,916",17553,,u,780652,u,780652
2018,X,Pakistan,World,World,TOTAL CPC,TOTAL MOT,854239,"$1,927",,,u,28,u,28
2018,X,Panama,World,World,TOTAL CPC,TOTAL MOT,854239,"$183,819",,3729,N/A,,N/A,
2018,X,Peru,World,World,TOTAL CPC,TOTAL MOT,854239,"$144,085",2069,,u,705,u,705
2018,X,Philippines,World,World,TOTAL CPC,TOTAL MOT,854239,"$2,238,121,404",1550520,1550526,N/A,,N/A,
2018,X,Poland,World,World,TOTAL CPC,TOTAL MOT,854239,"$25,054,959",82267,,N/A,,N/A,
2018,X,Portugal,World,World,TOTAL CPC,TOTAL MOT,854239,"$294,343,966",159188,,N/A,,N/A,
2018,X,Romania,World,World,TOTAL CPC,TOTAL MOT,854239,"$25,070,228",298297,,N/A,,kg,297663
